"",CW,SW,JSWE,SSR,SCW,SWRA,ASW,CAN,FR,CSWJ,AMH,JSP,BJSW,PW,CCQ,JGSW,CYSR,SWG,SWHC,IJSW
CW,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
SW,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
JSWE,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
SSR,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SCW,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0
SWRA,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASW,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
CAN,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FR,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSWJ,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AMH,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
JSP,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BJSW,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PW,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
CCQ,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
JGSW,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CYSR,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0
SWG,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
SWHC,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IJSW,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
