"",1,2,3,4,5,6,7,8,9
R1,29,10,23,24,27,16,24,18,18
S1,10,24,15.5,11,20,19,8,22,19
O1,23,15.5,33.25,23,28.5,23.5,22,21.5,24.5
SC1,24,11,23,30,28,17,24,19,20
K1,27,20,28.5,28,38,24,26,27,26
SO1,16,19,23.5,17,24,28,15,23,23
T1,24,8,22,24,26,15,27,15,16
G1,18,22,21.5,19,27,23,15,31,26
B1,18,19,24.5,20,26,23,16,26,31
R2,26,7,22,20,23,20,19,20,16
S2,7,14,11,3,13,14,3,12,14
O2,22,11,29,19,25,24,19,21,21
SC2,20,3,19,22,19,16,19,15,12
K2,23,13,25,19,30,25,18,23,21
SO2,20,14,24,16,25,28,15,24,24
T2,19,3,19,19,18,15,21,14,11
G2,20,12,21,15,23,24,14,26,20
B2,16,14,21,12,21,24,11,20,24
R3,27,7,21,21,25,17,22,13,12
S3,7,14,7,3,11,12,4,11,11
O3,21,7,26,20,23,16,21,13,13
SC3,21,3,20,23,22,13,23,9,8
K3,25,11,23,22,30,19,23,14,14
SO3,17,12,16,13,19,23,14,16,16
T3,22,4,21,23,23,14,24,10,8
G3,13,11,13,9,14,16,10,18,14
B3,12,11,13,8,14,16,8,14,18
R4,31,12,25.5,19.5,30,19,21,18,20
S4,12,21,14.5,6.5,16,16,10,15,18
O4,25.5,14.5,31.25,19.25,27.5,18.5,22.5,15.5,22
SC4,19.5,6.5,19.25,21.25,18.5,11.5,20.5,10.5,11
K4,30,16,27.5,18.5,35,22,22,20,24
SO4,19,16,18.5,11.5,22,26,13,20,21
T4,21,10,22.5,20.5,22,13,26,12,15
G4,18,15,15.5,10.5,20,20,12,24,20
B4,20,18,22,11,24,21,15,20,29
R5,22,6,21,20,19,14,19,11,11.5
S5,6,19,13.5,9,12,18,6,16,16.5
O5,21,13.5,29.25,21.5,23.5,21.5,19.5,18.5,18.75
SC5,20,9,21.5,24,19,16,21,12,12
K5,19,12,23.5,19,27,19,18,17,16
SO5,14,18,21.5,16,19,27,14,22,20.5
T5,19,6,19.5,21,18,14,22,10,10
G5,11,16,18.5,12,17,22,10,23,18.5
B5,11.5,16.5,18.75,12,16,20.5,10,18.5,22.5
R6,30,8,30,21,26,15.5,23,12.5,18
S6,8,15,12,3,9,14,7,13,11
O6,30,12,34,21,28,19.5,24,16.5,21
SC6,21,3,21,23,21,8.5,22,4.5,11
K6,26,9,28,21,29,14.5,23,11.5,16
SO6,15.5,14,19.5,8.5,14.5,21.75,13.5,16.25,16.5
T6,23,7,24,22,23,13.5,27,9.5,12
G6,12.5,13,16.5,4.5,11.5,16.25,9.5,18.25,14
B6,18,11,21,11,16,16.5,12,14,22
R7,29,9.5,24,25,29,15,26,12,9
S7,9.5,19.25,13.5,6.5,14.5,17,7.5,15,15
O7,24,13.5,32,21,26,20,22,18,16
SC7,25,6.5,21,27,25,13,27,10,8
K7,29,14.5,26,25,34,20,26,17,14
SO7,15,17,20,13,20,27,14,23,19
T7,26,7.5,22,27,26,14,28,11,9
G7,12,15,18,10,17,23,11,24,19
B7,9,15,16,8,14,19,9,19,21
R8,28,9,22.5,18,25.5,12,20.5,13,16
S8,9,20,16,3,13.5,17,6.5,18,19
O8,22.5,16,32.5,17,26.75,19,17.75,19,22
SC8,18,3,17,21,21,7,20,6,8
K8,25.5,13.5,26.75,21,33.25,17.5,24.25,17.5,20.5
SO8,12,17,19,7,17.5,24,11.5,22,22
T8,20.5,6.5,17.75,20,24.25,11.5,24.25,10.5,11.5
G8,13,18,19,6,17.5,22,10.5,24,22
B8,16,19,22,8,20.5,22,11.5,22,27
R9,28,14,24,17.5,25,19.5,15,17,18
S9,14,20.25,17,6.5,15,19,5.5,16.5,15.5
O9,24,17,30,16,23,22.5,14.5,18,20
SC9,17.5,6.5,16,18.5,16.5,10.75,15.25,10,9
K9,25,15,23,16.5,27,18.5,15,15,16
SO9,19.5,19,22.5,10.75,18.5,26.25,8.5,21.5,20.5
T9,15,5.5,14.5,15.25,15,8.5,16.25,6.5,5.5
G9,17,16.5,18,10,15,21.5,6.5,23,20
B9,18,15.5,20,9,16,20.5,5.5,20,24
R10,27,11,24,20.5,25,11.5,20.5,13.5,14
S10,11,21,14,7.5,14,18,8.5,19,16
O10,24,14,30,19.5,24,15.5,17.5,16.5,19
SC10,20.5,7.5,19.5,22.25,19.5,8,20.25,10,9.5
K10,25,14,24,19.5,29,14.5,20.5,15.5,15
SO10,11.5,18,15.5,8,14.5,21.25,9,19.25,15.5
T10,20.5,8.5,17.5,20.25,20.5,9,23.25,11,8.5
G10,13.5,19,16.5,10,15.5,19.25,11,23.25,19.5
B10,14,16,19,9.5,15,15.5,8.5,19.5,22
